#timestamp x y z q_x q_y q_z q_w
1704226935.669668 -0.024793197917159 -0.062284505509781 -0.024267692067465 -0.003845541666239 0.002409134502515 0.000729143379610 0.999989438059310
1704226935.770516 -0.031679484602602 -0.052476282124209 -0.051446020724657 -0.005562989393854 0.001556532136493 0.000177609338915 0.999983299266360
1704226935.871402 -0.027565281756390 -0.054954952606842 -0.048892596008175 -0.004718916732727 0.001567275566229 0.000155435674737 0.999987625579396
1704226935.972237 -0.025166565218674 -0.057651199642042 -0.036862720768188 -0.005026151877239 0.002113250031769 0.000729779894738 0.999984869581992
1704226936.073093 -0.025498221858478 -0.059486436522256 -0.031657705130621 -0.004218425254502 0.002402824449972 0.000623492250376 0.999988021218477
1704226936.173963 -0.027151685748405 -0.060620216811556 -0.031795823547551 -0.004421337523720 0.002368806568062 0.000678048508402 0.999987190308036
1704226936.274813 -0.026990454840093 -0.060840317668116 -0.029714540369578 -0.003818602555425 0.002262042019156 0.000768713716814 0.999989855208364
1704226936.375864 -0.024808238925099 -0.061179286927277 -0.029590906894265 -0.004098681713680 0.002138003969945 0.000724794382725 0.999989052150238
1704226936.476695 -0.024634406044196 -0.060706959353612 -0.030310561454977 -0.002966660623585 0.001811461048608 0.000580935961063 0.999993790004226
1704226936.577529 -0.023916940657656 -0.059305928425420 -0.030863426053179 -0.003395715799710 0.001965802202555 0.000600604811251 0.999992121973848
1704226936.678330 -0.025321178754526 -0.058026778063690 -0.030568954302050 -0.003616913470844 0.002119814520853 0.000485670488134 0.999991094184097
1704226936.779087 -0.022877878625631 -0.057903162737100 -0.028057841020959 -0.003418875878029 0.001966885071811 0.000521808765250 0.999992085151901
1704226936.879952 -0.021582615137095 -0.059002650855232 -0.027431488122041 -0.003368223637493 0.002076666516150 0.000439080960903 0.999992074835400
1704226936.980850 -0.021352225046580 -0.058998692151987 -0.027312275159362 -0.003514361369821 0.002049725054215 0.000593761294575 0.999991547633717
1704226937.081738 -0.022428928955624 -0.058897554079772 -0.027576866917333 -0.003628652767858 0.002339087758029 0.000437125227018 0.999990585190217
1704226937.182596 -0.022562147832918 -0.057999134343215 -0.028562199094920 -0.003488365579370 0.002234550331011 0.000444673674225 0.999991320140186
1704226937.283419 -0.021402896574011 -0.059057467960682 -0.028971731185547 -0.003260145108635 0.001905459526613 0.000379784971066 0.999992798194679
1704226937.384275 -0.020548857781069 -0.059567880686855 -0.029072902500363 -0.003551122329577 0.002206785102430 0.000522570556544 0.999991123235456
1704226937.485197 -0.019249111343626 -0.059265247966898 -0.030072347907700 -0.002931926518268 0.002169346419747 0.000414635730425 0.999993262887404
1704226937.586008 -0.018428375589764 -0.059970141617016 -0.030504701651925 -0.003273754465394 0.001877556750040 0.000417534761176 0.999992791462546
1704226937.686854 -0.021163788841910 -0.060368366802071 -0.033074097710590 -0.002304916017029 0.002136092697898 0.000245091233473 0.999995032187864
